"기후기술분류별(1)",기후기술분류별(2),2016,2016,2016,2016,2016
"기후기술분류별(1)",기후기술분류별(2),전체,대기업,중견기업,중소기업,연구소 등 비영리기관
"합계",소계,159556972,96142879,44334806,19079287,0
"감축",소계,147011381,88627945,41208015,17175421,0
"감축",비재생에너지,799674,404810,24671,370193,0
"감축",재생에너지,39142812,25626224,7215056,6301532,0
"감축",신에너지,7489457,5895165,1214948,379345,0
"감축",에너지저장,33924487,24327220,7491344,2105922,0
"감축",송배전 및 에너지관리,7265845,3022880,3557870,685095,0
"감축",에너지수요,54089323,25281626,21632462,7175235,0
"감축",온실가스 고정,4299783,4070020,71665,158098,0
"적응",소계,8142253,6542637,342990,1256626,0
"적응",농업축산,363140,1,47837,315302,0
"적응",물,7779113,6542636,295153,941324,0
"감축 및 적응 융복합",소계,4403338,972297,2783801,647240,0
"감축 및 적응 융복합",감축 및 적응 융복합,4403338,972297,2783801,647240,0
