"기후기술분류별(1)",기후기술분류별(2),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p)
"기후기술분류별(1)",기후기술분류별(2),합계,아시아태평양,서유럽,동유럽,북미,중남미,중동아프리카,기타
"합계",소계,1980,1813,86,143,485,53,89,410
"감축",소계,1695,1580,75,123,425,33,76,344
"감축",비재생에너지,29,12,3,0,6,0,21,4
"감축",재생에너지,460,524,22,15,107,14,10,48
"감축",신에너지,50,44,4,4,22,0,4,13
"감축",에너지저장,226,181,6,22,59,7,9,68
"감축",송배전&전력IT,77,56,6,8,33,0,0,22
"감축",에너지수요,830,742,35,74,193,12,28,190
"감축",온실가스 고정,24,21,0,0,5,0,3,0
"적응",소계,225,190,11,21,43,11,10,55
"적응",농업&축산,107,84,3,15,30,7,2,32
"적응",물관리,118,106,8,6,13,4,9,23
"융복합",소계,60,43,0,0,17,10,3,11
"융복합",감축 및 적응 융복합,60,43,0,0,17,10,3,11
