"기후기술분류별(1)",기후기술분류별(2),2013,2013,2013,2013,2013
"기후기술분류별(1)",기후기술분류별(2),전체,대기업,중견기업,중소기업,연구소 등 비영리기관
"합계",소계,1894190,567001,302179,963832,61178
"감축",소계,1753802,504826,283271,904550,61155
"감축",비재생에너지,69708,55966,894,0,12848
"감축",재생에너지,286497,10971,50583,187148,37796
"감축",신에너지,44706,2175,2760,39724,48
"감축",에너지저장,265978,146975,25575,92977,451
"감축",송배전 및 에너지관리,108024,42153,7842,54481,3548
"감축",에너지수요,958887,246557,175669,530221,6440
"감축",온실가스 고정,20001,29,19949,0,23
"적응",소계,66730,8599,6894,51213,23
"적응",농업축산,13070,32,1629,11408,0
"적응",물,53660,8567,5265,39805,23
"감축 및 적응 융복합",소계,73658,53576,12014,8068,0
"감축 및 적응 융복합",감축 및 적응 융복합,73658,53576,12014,8068,0
