"기후기술분류별(1)",기후기술분류별(2),2012,2012,2012,2012,2012
"기후기술분류별(1)",기후기술분류별(2),전체,대기업,중견기업,중소기업,연구소 등 비영리기관
"합계",소계,184816,67089,67094,44504,6129
"감축",소계,173585,65880,64529,37281,5895
"감축",비재생에너지,3734,1864,183,1316,370
"감축",재생에너지,49982,16482,17003,13784,2713
"감축",신에너지,3942,1789,1123,991,38
"감축",에너지저장,32129,23579,3387,5126,38
"감축",송배전 및 에너지관리,5398,138,3160,1741,358
"감축",에너지수요,78091,22009,39609,14108,2366
"감축",온실가스 고정,310,19,64,216,11
"적응",소계,7282,72,449,6619,142
"적응",농업축산,1346,8,128,1140,70
"적응",물,5936,64,321,5479,73
"감축 및 적응 융복합",소계,3949,1137,2116,604,92
"감축 및 적응 융복합",감축 및 적응 융복합,3949,1137,2116,604,92
