"기후기술분류별(1)",기후기술분류별(2),2012,2012,2012,2012,2012
"기후기술분류별(1)",기후기술분류별(2),전체,대기업,중견기업,중소기업,연구소 등 비영리기관
"합계",소계,1819184,493113,278556,982383,65131
"감축",소계,1702527,436409,263234,937803,65080
"감축",비재생에너지,58288,44472,834,0,12982
"감축",재생에너지,316611,12822,45817,212853,45120
"감축",신에너지,63901,2108,2354,59363,77
"감축",에너지저장,242067,136036,22975,82927,129
"감축",송배전 및 에너지관리,97352,31838,7621,54893,3000
"감축",에너지수요,908619,209090,168006,527768,3756
"감축",온실가스 고정,15688,44,15627,0,17
"적응",소계,52127,6384,6357,39335,51
"적응",농업축산,12615,38,1322,11226,29
"적응",물,39512,6346,5036,28109,22
"감축 및 적응 융복합",소계,64530,50320,8965,5245,0
"감축 및 적응 융복합",감축 및 적응 융복합,64530,50320,8965,5245,0
