"기후기술분류별(1)",기후기술분류별(2),2018,2018,2018,2018,2018
"기후기술분류별(1)",기후기술분류별(2),전체,대기업,중견기업,중소기업,연구소 등 비영리기관
"합계",소계,195064,72143,65296,49825,7799
"감축",소계,183380,70860,63152,41811,7556
"감축",비재생에너지,4068,1892,243,1449,484
"감축",재생에너지,54709,19172,16328,15162,4047
"감축",신에너지,3967,1588,1248,1047,85
"감축",에너지저장,37615,27338,3705,6485,86
"감축",송배전 및 에너지관리,5066,145,2607,1833,480
"감축",에너지수요,77506,20721,38933,15499,2354
"감축",온실가스 고정,449,4,88,336,21
"적응",소계,7953,72,442,7287,151
"적응",농업축산,1617,-,147,1392,78
"적응",물,6336,72,295,5895,73
"감축 및 적응 융복합",소계,3731,1211,1702,727,91
"감축 및 적응 융복합",감축 및 적응 융복합,3731,1211,1702,727,91
