"기후기술분류별(1)",기후기술분류별(2),2020,2020,2020,2020,2020,2020,2020
"기후기술분류별(1)",기후기술분류별(2),전체,100억 원 미만,100억 원 이상 500억 원 미만,500억 원 이상 1000억 원 미만,1000억 원 이상 2000억 원 미만,2000억 원 이상,기타(공공기관)
"합계",소계,168685256,7561361,9736318,6600940,8714522,126249727,9822388
"감축",소계,152213509,5768574,8032601,5726027,7749411,115378414,9558481
"감축",비재생에너지,6086836,133160,32228,20708,120061,438019,5342661
"감축",재생에너지,20410475,2060838,2054328,2218334,1500651,11912757,663568
"감축",신에너지,11539458,296519,272573,322581,142135,10500674,4974
"감축",에너지저장,43323673,419886,652848,936370,604347,40476074,234148
"감축",송배전&전력IT,10341593,842601,760353,750664,1387672,4321620,2278682
"감축",에너지수요,59000220,1996698,4212422,1477372,3973328,46329587,1010813
"감축",온실가스 고정,1511254,18872,47848,-,21217,1399682,23634
"적응",소계,14683310,1652910,1583701,716436,618723,9847633,263907
"적응",농업&축산,3722596,522585,182436,135205,95554,2712690,74126
"적응",물관리,10370154,1035412,1162961,464110,500916,7091323,115433
"적응",예측?모니터링,81257,26758,5781,-,-,-,48717
"적응",해양수산연안,59373,10923,12061,22389,-,-,14000
"적응",건강,386857,24129,202122,94732,22253,43620,-
"적응",산림육상,63073,33103,18339,-,-,-,11631
"융복합",소계,1788438,139878,120015,158478,346388,1023679,0
"융복합",감축 및 적응 융복합,1788438,139878,120015,158478,346388,1023679,0
