"기후기술분류별(1)",기후기술분류별(2),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p)
"기후기술분류별(1)",기후기술분류별(2),전체,100억 원 미만,100억 원 이상 600억 원 미만,600억 원 이상 2000억 원 미만,2000억 원 이상,기타(공공기관)
"합계",소계,8205879,893335,463525,915236,3724151,2209632
"감축",소계,7124321,711650,395784,889776,3612385,1514726
"감축",비재생에너지,197099,8581,14939,19875,35750,117954
"감축",재생에너지,1451153,264361,81060,430707,459497,215528
"감축",신에너지,98358,56356,14820,2903,24189,90
"감축",에너지저장,2286649,39397,101412,58708,1901475,185656
"감축",송배전&전력IT,190935,51398,44182,25037,34615,35703
"감축",에너지수요,2891118,287370,138768,349825,1156859,958296
"감축",온실가스 고정,9010,4187,604,2720,-,1500
"적응",소계,961849,135291,53744,23239,54716,694859
"적응",농업&축산,646582,61957,4233,6600,51333,522459
"적응",물관리,315267,73334,49511,16639,3383,172400
"융복합",소계,119709,46394,13997,2221,57050,47
"융복합",감축 및 적응 융복합,119709,46394,13997,2221,57050,47
