"기후기술분류별(1)",기후기술분류별(2),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p)
"기후기술분류별(1)",기후기술분류별(2),전체,100억 원 미만,100억 원 이상 600억 원 미만,600억 원 이상 2000억 원 미만,2000억 원 이상,기타(공공기관)
"합계",소계,56520,10723,6528,7576,19354,12338
"감축",소계,48985,8868,5643,7064,18218,9191
"감축",비재생에너지,1902,272,112,70,260,1189
"감축",재생에너지,9044,2652,1748,2778,996,869
"감축",신에너지,1296,601,96,48,550,1
"감축",에너지저장,11414,584,1004,707,8095,1025
"감축",송배전&전력IT,2832,1038,514,804,324,152
"감축",에너지수요,22394,3676,2150,2623,7993,5952
"감축",온실가스 고정,104,47,19,35,-,3
"적응",소계,5953,1663,850,297,548,2594
"적응",농업&축산,2133,444,90,133,434,1032
"적응",물관리,3820,1219,760,164,114,1562
"융복합",소계,1582,192,35,215,588,553
"융복합",감축 및 적응 융복합,1582,192,35,215,588,553
