"기후기술분류별(1)",기후기술분류별(2),2020,2020,2020,2020,2020,2020,2020
"기후기술분류별(1)",기후기술분류별(2),전체,100억 원 미만,100억 원 이상 500억 원 미만,500억 원 이상  1000억 원 미만,1000억 원 이상 2000억 원 미만,2000억 원 이상,기타(공공기관)
"합계",소계,180951,26208,24377,11444,14033,81985,22904
"감축",소계,155041,19945,19910,10055,11663,74224,19244
"감축",비재생에너지,7975,418,194,98,20,1248,5997
"감축",재생에너지,29368,5512,3744,3752,2036,11513,2811
"감축",신에너지,6907,1194,732,717,242,3719,304
"감축",에너지저장,22934,1362,901,700,1201,17734,1035
"감축",송배전&전력IT,18061,3675,4336,2139,2075,3847,1989
"감축",에너지수요,69261,7711,9892,2650,6066,35902,7041
"감축",온실가스 고정,534,72,112,-,23,262,66
"적응",소계,21595,5538,4187,1220,1945,7030,1675
"적응",농업&축산,5421,1893,474,87,423,1702,842
"적응",물관리,14462,3015,3081,909,1502,5218,737
"적응",예측?모니터링,180,120,6,-,-,-,54
"적응",해양수산연안,144,61,41,43,-,-,0
"적응",건강,957,226,419,181,20,110,-
"적응",산림육상,431,223,166,-,-,-,42
"융복합",소계,4314,724,280,169,425,731,1985
"융복합",감축 및 적응 융복합,4314,724,280,169,425,731,1985
