"기후기술분류별(1)",기후기술분류별(2),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p)
"기후기술분류별(1)",기후기술분류별(2),전체,100억 원 미만,100억 원 이상 600억 원 미만,600억 원 이상 2000억 원 미만,2000억 원 이상,기타(공공기관)
"합계",소계,170312,25760,18877,20623,73086,31968
"감축",소계,144908,20505,16635,19165,65950,22653
"감축",비재생에너지,7414,816,839,739,3548,1472
"감축",재생에너지,24425,6043,3936,5772,6066,2609
"감축",신에너지,2082,753,153,308,864,3
"감축",에너지저장,37022,1083,2116,3248,28732,1843
"감축",송배전&전력IT,9066,2216,1177,2188,2950,535
"감축",에너지수요,64433,9418,8248,6801,23789,16177
"감축",온실가스 고정,465,177,165,108,-,15
"적응",소계,20922,4797,2022,1068,5114,7923
"적응",농업&축산,9822,1516,200,510,4864,2733
"적응",물관리,11100,3281,1822,558,250,5190
"융복합",소계,4482,458,220,390,2022,1392
"융복합",감축 및 적응 융복합,4482,458,220,390,2022,1392
