"기후기술분류별(1)",기후기술분류별(2),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p)
"기후기술분류별(1)",기후기술분류별(2),합계,기술개발기,기술도입기,기술성장기,기술성숙기,기술쇠퇴기
"합계",소계,7379,478,302,5562,1019,19
"감축",소계,6163,352,227,4704,868,12
"감축",비재생에너지,84,7,2,57,17,2
"감축",재생에너지,2113,75,66,1780,187,5
"감축",신에너지,148,7,9,118,13,-
"감축",에너지저장,481,40,29,314,98,-
"감축",송배전&전력IT,433,11,15,362,46,-
"감축",에너지수요,2856,210,104,2029,506,6
"감축",온실가스 고정,48,2,2,44,-,-
"적응",소계,1049,92,65,766,122,5
"적응",농업&축산,417,53,18,297,44,5
"적응",물관리,632,39,47,469,78,-
"융복합",소계,167,34,10,92,29,2
"융복합",감축 및 적응 융복합,167,34,10,92,29,2
