"기후기술분류별(1)",기후기술분류별(2),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p),2019 p)
"기후기술분류별(1)",기후기술분류별(2),정부지원 사업 수혜여부 (개),정부지원 사업 수혜여부 (개),정부지원 사업 수혜여부 (개),정책수단 종류 (건),정책수단 종류 (건),정책수단 종류 (건),정책수단 종류 (건),정책수단 종류 (건),정책수단 종류 (건),정책수단 종류 (건)
"기후기술분류별(1)",기후기술분류별(2),수혜여부 합계,수혜여부 없음,수혜여부 있음,금융지원,기술개발지원,수주지원,판매/마케팅,인력양성지원,해외진출지원,기타
"합계",소계,7379,4714,2665,1649,453,1388,143,52,24,-
"감축",소계,6163,3947,2217,1369,391,1186,127,39,17,-
"감축",비재생에너지,84,40,44,25,-,29,-,2,-,-
"감축",재생에너지,2113,1373,740,474,154,375,40,18,10,-
"감축",신에너지,148,75,73,49,15,26,9,5,-,-
"감축",에너지저장,481,300,181,108,46,118,10,8,-,-
"감축",송배전&전력IT,433,256,177,67,30,94,17,-,4,-
"감축",에너지수요,2856,1883,973,630,137,543,41,4,-,-
"감축",온실가스 고정,48,20,28,16,9,1,9,2,3,-
"적응",소계,1049,645,404,250,60,181,16,13,7,-
"적응",농업&축산,417,253,164,107,27,75,-,9,3,-
"적응",물관리,632,391,241,143,33,106,16,4,3,-
"융복합",소계,167,123,44,30,2,21,-,-,-,-
"융복합",감축 및 적응 융복합,167,123,44,30,2,21,-,-,-,-
